r,Eigenvalue,Trace_Statistic,Trace_CV_5pct,Trace_Reject,MaxEig_Statistic,MaxEig_CV_5pct,MaxEig_Reject
0,0.045999,9.893,15.494,False,7.911,14.264,False
1,0.011728,1.982,3.841,False,1.982,3.841,False
