horizon,MPR,ExchangeRate,M2,Inflation
0,0.0,0.0,0.05420462662591904,0.014753827980884805
1,0.011869574932460249,1.6722079954350846,0.08610158774671679,0.06099107629218188
2,-0.022094084457893935,2.419771888016935,0.14387653771008413,0.10204502383972584
3,-0.11067163090680172,3.6330625220755657,0.21443364621797759,0.1970588677830558
4,-0.11199590635325128,3.8032315901055975,0.30091135024914145,0.17765693086378798
5,-0.1311493914081726,4.111767695387066,0.3903333223723426,0.13230056929749884
6,-0.15815045723697274,4.101777720022351,0.4924709016448071,0.19534345711488255
7,-0.15555999909757678,3.8978963209874187,0.6022515531745252,0.2992145917259142
8,-0.10521243585880914,3.825192360558975,0.7162411947939195,0.2060046532858151
9,-0.08276074587014705,3.4511810626948565,0.8421655808407764,0.22857195617341394
10,-0.07554719689505116,3.205525399665016,0.9679903618741087,0.2355404361900815
11,-0.035961361019553946,2.6416140574499307,1.1050284588832109,0.21626901783627273
12,-0.011096704956756354,1.9899805710387664,1.243149118146256,0.1501404028555804
13,-0.024598026955440406,1.3019466899120569,1.391221453456959,0.1404333828758249
14,-0.0036291606907092122,0.7115699156432702,1.5405443257704832,0.10275415951110008
15,-0.0003596570991489627,0.26011961115590665,1.6982128188185388,0.06028177276725143
16,-0.004948327387202385,-0.303404272718402,1.8592364525849552,7.176404581288754e-05
17,-0.022083894549612168,-0.43084240207434515,2.0259003329392504,-0.02774598017006043
18,-0.02467106575545553,-0.4613730813832157,2.197938275140907,-0.05500707986683262
19,-0.037658017893967374,-0.5325896815322804,2.3741318396805955,-0.10532880508895318
20,-0.04728030521276527,-0.5545831814499643,2.55589778868301,-0.1328253730423252
21,-0.05631677577500973,-0.49245597556082865,2.7411550741600497,-0.15415563319600073
22,-0.06658493827438353,-0.6695889081532451,2.931941914289899,-0.18558657904220255
23,-0.06063319293738225,-0.8035964503018032,3.1251847265710433,-0.20246134566117452
24,-0.06199571173118958,-0.943168898180044,3.323096109491621,-0.2044553783012044
