horizon,MPR,ExchangeRate,M2,Inflation
0,0.3996606507319321,-0.0005011102635032556,0.00275239363067581,0.12229720720809091
1,0.3998482985374092,1.4551996415070394,0.0011482250417710134,0.23397048681118815
2,0.4057210512273837,3.472623269272523,0.006098729048072419,0.29108300135732873
3,0.35757294462119876,3.700041444320703,0.019231926579273355,0.3921169808795679
4,0.3699300081298183,3.8555704533408206,0.04004616524924273,0.31844134806579705
5,0.34837595183396247,4.099747173877055,0.06720546624890301,0.324431092478505
6,0.3188215445666633,5.178829660143117,0.09812037458937266,0.483956204332176
7,0.24184535858539719,5.172694360587778,0.14017837634461078,0.5449191988126564
8,0.2797306354386453,5.511987489287664,0.18779460324001393,0.5226465494928115
9,0.26642203056654884,7.109427439535674,0.24924447673026834,0.6233951440192492
10,0.24944187611091978,8.58284886121765,0.315116187081905,0.5890098394520696
11,0.2335556734318697,9.348121629898293,0.39444022353342484,0.5561939292242387
12,0.23819812494628292,9.514998324264724,0.4825054605942415,0.5181941082041451
13,0.1989053525761037,9.172555162781912,0.5849743220731886,0.46599564324382936
14,0.22521619329997222,9.008875424934722,0.6946924903940672,0.43313072073943826
15,0.22235320737672,8.567122929379924,0.8160113489722811,0.3746041892334591
16,0.2261228429080106,7.5971566978767715,0.9478498956513141,0.27263478903305327
17,0.24368880310157923,6.994532795140954,1.088555033373445,0.22242082304679456
18,0.2457973807177134,6.511640976230055,1.2387832926046156,0.15947540425398912
19,0.2426422803453732,5.882265473822322,1.397489153351293,0.0948971741180107
20,0.2544458024718029,5.316862889095041,1.5644712520785342,0.046282134108178594
21,0.25126967172207687,4.618981773098036,1.7400786734243374,-0.03659622984503792
22,0.23982845664276878,3.6460087357837723,1.923530284004817,-0.13090219219819607
23,0.23261913795259295,2.7893811557016868,2.113535443726549,-0.19753478567791302
24,0.21754007269767445,1.8427856251182375,2.311281719724464,-0.2724798520744042
