horizon,MPR,ExchangeRate,M2,Inflation
0,0.0,0.0,0.0,0.9804341258445491
1,0.03182226008144176,2.2180343592248657,-0.018419927557953224,1.094211118019911
2,0.08512572317507484,4.46357229749398,-0.011373283769678439,0.7897278240655675
3,0.06072565648798338,5.589357222573599,-0.0213236981916709,0.6033961769093812
4,-0.04750413389714022,6.075690124682203,-0.01816312781045293,0.5964279866654316
5,0.07758051575848647,6.178441677005221,-0.01759400139365435,0.7330302601748067
6,0.03252741926799862,7.1749992777343,-0.004863098687211555,0.9592846715017229
7,0.04155061777409409,6.935811769031979,0.013198464001638825,0.8437690609763335
8,0.0779859944950332,7.035644714926713,0.04035230253371128,0.7193714788035813
9,0.07209431009752652,6.762820321917941,0.07593480408446383,0.5166651237175001
10,0.012111569955435204,6.6761565749103955,0.11522399286600496,0.3732152510328686
11,0.013515797564738778,7.9984951220007705,0.1637049204597943,0.5134712694024649
12,0.0429695892921355,9.056882779386884,0.21854554134648924,0.5977517169499504
13,0.07457459005714194,8.892655066919191,0.2830218429746619,0.4973606408874644
14,0.10984699510570912,9.094547293916701,0.35115253879382335,0.4263856427084515
15,0.05516050807439561,8.588996501488246,0.4279786550993862,0.28099040357853
16,0.0658977622115623,8.059643475483659,0.5099495532311904,0.2108704275622592
17,0.11606459438901325,8.095613361669477,0.5963544803751086,0.24849356225729635
18,0.15174100899753257,7.942876978551371,0.6907204670695998,0.28238222148035697
19,0.18874103571952058,7.186622586679465,0.78899987950223,0.268934778007138
20,0.217810165051335,6.3081907608170305,0.8929820268456317,0.2088033254770293
21,0.20653300807290892,5.212884863360516,1.0032369979605205,0.1044503163741978
22,0.22129144430879866,4.617683009998361,1.1182682688944294,0.07878487794664653
23,0.23844671682513835,4.29759187094608,1.2379522533297358,0.0714093625889078
24,0.24478307490703222,3.579066952325973,1.3644828138508345,0.039670902221623665
