horizon,MPR,ExchangeRate,M2,Inflation
0,0.0,10.12321602270839,0.005585837438662113,0.12143512946457348
1,0.03302820630904018,11.826346442425486,0.015159592815577869,0.3279021647944739
2,0.06769629112149537,10.99852793838663,0.026524228661630532,0.48698378242381246
3,0.0715169466466491,10.253820310952545,0.04559757610762772,0.5426408583397663
4,0.11457152348896578,9.34074389266841,0.0688460309188339,0.5809487436200625
5,0.015722562583464474,8.686943515013562,0.094287347884482,0.5875907063112649
6,0.30130136666709434,8.491667717751069,0.12014764075474048,0.6385160660258857
7,0.2795241284702874,8.26928724603287,0.1587292052103601,0.7789624979608774
8,0.38086802826473254,7.9553272928565155,0.19858662197902735,0.8743381400229959
9,0.3246324620278256,7.541844173608489,0.24512424707917588,0.8678105160123333
10,0.37065459787238403,7.641410780612195,0.3058245780586637,0.8270978185270929
11,0.3248655318296881,6.9630189549302015,0.37460689148810744,0.6952480171853263
12,0.33245683752168126,7.358942020072769,0.4525186863079697,0.5527348955550343
13,0.24559148433084457,6.8740364296842715,0.544786357781483,0.4858846910376845
14,0.19876166524757713,6.2690345961317435,0.6471785061230032,0.38165307317768893
15,0.17659292376364152,6.306265655958535,0.7642485132002823,0.30768154034496975
16,0.15898102267734623,6.756866869011157,0.8899981509127776,0.17188170334428474
17,0.09528478213463984,6.723020538356166,1.0299489252494654,0.040319078632727226
18,0.09605196530113153,6.505037542932366,1.1753241688821898,-0.10119315992872258
19,0.05993292273299349,6.070786083549697,1.3341663151879322,-0.19309881411437002
20,0.06749592312040742,5.457296459109179,1.4972775561338623,-0.25790177593409336
21,0.078358621664708,4.801392740919951,1.6675325985572005,-0.2936002225765794
22,0.10948591462295221,3.6855119554949693,1.8424222089219486,-0.36623452851192395
23,0.12548248189791159,2.1658978258185932,2.0217222759043993,-0.4345775361673986
24,0.15432133787601793,0.7828267426330906,2.2029407778827186,-0.4771315240347996
