,MPR,ExchangeRate,M2,Inflation
const,1.521081251185052,-47.239111220686965,-0.18420283382296862,1.3379765010913667
L1.MPR,0.9890937351249127,2.7420114612646898,-0.0023515401571260752,0.23827563136711463
L1.ExchangeRate,0.0027573179382683194,1.1244194467069832,0.0008435703021019085,0.018550076427608874
L1.M2,0.21014267576211196,30.23414307867409,1.5935683167480266,0.8214262376269228
L1.Inflation,0.0324573158385628,2.2622982011302835,-0.01878752184608654,1.116047564212796
L2.MPR,-0.0015340714838048045,0.7349360021293697,0.008746259309435627,-0.08010090965470083
L2.ExchangeRate,-0.0007233229572257902,-0.33144527104687915,-0.0006448850568086554,-0.005385332174220406
L2.M2,-1.0839916498239794,-41.20830317904482,0.1084416498419781,-1.1733221356828643
L2.Inflation,0.016207469485687676,-0.036929344932199175,0.03747463180541441,-0.4743412952281089
L3.MPR,-0.12841583937150028,-4.509942929276707,0.016391934105607315,0.0816990201591236
L3.ExchangeRate,-0.0011993950715340103,0.041066815950556175,0.0003016232599100815,-0.0026683506558879424
L3.M2,-0.6278802913534869,9.308864596839916,-0.4652617007252292,1.1653492928700964
L3.Inflation,-0.09696709831427756,-1.1348035339989038,-0.030377711686384198,0.1429902670543614
L4.MPR,0.1756024271087746,0.596171811382445,0.0016350765074706973,-0.3985789297246767
L4.ExchangeRate,0.006733231971946011,-0.045621863747162615,-0.0004454014012023311,0.002533605539168292
L4.M2,2.8854333514747577,-17.04993675639091,-0.31701185301661655,-2.5416454922716745
L4.Inflation,-0.059736627551329094,1.3738913650424882,0.020228983226960838,0.08446030653092966
L5.MPR,-0.0989603360108876,0.3695431330617594,-0.021360798758763802,0.22927658385365554
L5.ExchangeRate,-0.015795506377434605,0.02313114194768421,-0.00018709480885261082,-0.0038422203543496923
L5.M2,-0.548245174543549,15.062440328664247,-0.3694542511638136,0.7045641852472468
L5.Inflation,0.25216090691506937,-0.9221134743538895,-0.011208346837795567,0.051201034671972935
L6.MPR,0.05712571374874238,1.791240829584321,-0.005141455128039127,0.1931281511983437
L6.ExchangeRate,0.04087060085025708,0.031900904556228196,-0.0004618875249577834,0.004843372495366167
L6.M2,-0.2666743837408555,3.691950932218603,0.3198299204592122,2.79286707455301
L6.Inflation,-0.264770761033172,1.2605186921605127,0.010625829862020583,0.14970200810342316
L7.MPR,-0.17257448545369966,-2.902777431859099,0.00782762000377406,-0.27340881482296325
L7.ExchangeRate,-0.03681103797715408,-0.05041031025530347,0.001286439205252673,-0.002778965014254651
L7.M2,-1.002631740169868,-4.582796935928572,0.23133255968688987,-1.0842850740448298
L7.Inflation,0.09780853800493905,-3.281419605583163,0.00564214422712467,-0.306314014590649
L8.MPR,0.08382974623736812,1.8801009369759987,-0.005328813340696886,0.09439913358207898
L8.ExchangeRate,0.018640356791399703,-0.10095142256612498,-0.0007713176213415675,0.005508922824197966
L8.M2,0.7974395107733057,9.794415039353002,-0.12328226383349576,-3.0012185309463546
L8.Inflation,0.01608840687152568,2.509409345208051,-0.012029863206480515,0.11326289306370595
L9.MPR,0.12129218903895102,3.942303544745078,0.014533378700903102,0.28099091245922714
L9.ExchangeRate,-0.014392633167211686,0.11765884077661558,-0.0003304059551615492,-0.011255977983528011
L9.M2,-0.9569785947405243,-1.9669277990588128,0.10715409566190699,3.4774859939776346
L9.Inflation,-0.012211099064631635,-1.1321135024924571,0.004886305734219497,-0.20467396076087124
L10.MPR,-0.12431472974348913,-2.192821080137669,-0.0035110422455230015,-0.42494891687575903
L10.ExchangeRate,0.011556091668835535,-0.03460939623500317,0.00048387435206397695,0.015533958880458313
L10.M2,0.7219192682743978,-4.424178329142394,-0.11187442688403967,-1.0255947312943636
L10.Inflation,-0.06966230237781364,0.5817618057712616,-0.008749531214705552,0.06982726977125538
L11.MPR,0.031201885750144487,-1.2503395257309857,-0.006240481702914872,-0.020895765796791817
L11.ExchangeRate,-0.0062572892371768815,-0.05817983978512319,-4.098781849274551e-05,-0.01781890723812504
L11.M2,-0.12923260757027644,1.1572877546004425,0.02650017916263575,-0.1353067319573289
L11.Inflation,0.060684585819912616,1.5700321509356836,0.003960850281990513,0.05502278638671412
