horizon,MPR,ExchangeRate,M2,Inflation
1,1.0,0.0,0.0,0.0
2,0.9930265851119313,0.003389332421341014,0.00043773827431887877,0.003146344192408796
3,0.9708052217653718,0.011375087560206417,0.0012611514961051392,0.01655853917831676
4,0.9450163550366601,0.01665668075138021,0.019881880196978258,0.018445084014981416
5,0.9217950208023118,0.029435168460757843,0.03128801853767167,0.017481792199258744
6,0.909113939826256,0.025240059560477774,0.04452184221164031,0.021124158401625834
7,0.826621909098468,0.097759252452484,0.05752036554911912,0.018098472899928688
8,0.7699272672922016,0.14426691706784184,0.06861549795755235,0.017190317682403988
9,0.7022250954259946,0.21417423690168239,0.06517636952806637,0.01842429814425655
10,0.6675217960615265,0.25097382391263806,0.0621032936542047,0.019401086371630787
11,0.6295389487353674,0.2944780184218543,0.05852826638821892,0.01745476645455941
12,0.6074415261184162,0.32163582044714223,0.05470361863697347,0.01621903479746809
13,0.5874446535940598,0.345988332708992,0.05073802001576358,0.015828993681184497
14,0.5780103223287395,0.35579313758719217,0.04875611071522746,0.01744042936884082
15,0.5746610530394127,0.35702956498582883,0.04677549151542213,0.021533890459336274
16,0.5751849361209479,0.35753537129499857,0.04526767903668421,0.022012013547369258
17,0.5769305885188599,0.3561885635550084,0.043910587164816405,0.022970260761315163
18,0.5812197221301076,0.34883775078780865,0.04277544571862489,0.027167081363458603
19,0.5833944701641257,0.3406636313871171,0.04158985198481661,0.03435204646394046
20,0.5836731599896929,0.33039521588371096,0.04066813729421667,0.04526348683237926
21,0.5821424782854429,0.3190766544365604,0.0398203573969314,0.05896050988106518
22,0.5809274716804272,0.3094748996064973,0.03937713716083976,0.07022049155223567
23,0.5767312259893489,0.30160119288705356,0.039254354054914835,0.08241322706868269
24,0.5705987339902249,0.29474421478203644,0.03883502251053414,0.09582202871720444
