horizon,MPR,ExchangeRate,M2,Inflation
1,2.450358257974657e-09,0.9999999975496419,0.0,0.0
2,0.008397350072863677,0.9610050901888139,0.01108862356245098,0.01950893617587129
3,0.03449482411832247,0.8840057232171437,0.02105103343553697,0.06044841922899675
4,0.04852750012319611,0.8157572468648029,0.03805073381278077,0.09766451919922017
5,0.05871892727278647,0.7635907585550616,0.0499010680381722,0.12778924613397963
6,0.06803864592251822,0.7212495533396742,0.060818352730736144,0.14989344800707144
7,0.08285344006342567,0.674710611888038,0.06720182878136091,0.1752341192671753
8,0.09420428225633154,0.6426328005758984,0.0709880265093078,0.19217489065846216
9,0.10562543032194148,0.6145729267597442,0.07351279369134155,0.20628884922697266
10,0.12735525027046227,0.5853219016780029,0.07336571906115553,0.2139571289903792
11,0.15650521532312578,0.5555025682551971,0.0713564878584856,0.21663572856319155
12,0.18519987197939847,0.5208674506804699,0.06729874277822803,0.2266339345619036
13,0.2074591837578972,0.4901428402599587,0.061915141564762216,0.24048283441738183
14,0.22445800165455299,0.4661035925667522,0.057067679180854085,0.25237072659784066
15,0.23828185045163153,0.4444044231535247,0.052731645245649196,0.26458208114919446
16,0.24876434419540155,0.42865094799812936,0.049171585767628694,0.2734131220388404
17,0.25418323555102107,0.41956010379167236,0.04636629112250456,0.2798903695348019
18,0.256876520290758,0.41245865963055267,0.044019579161631926,0.2866452409170572
19,0.2582333809542656,0.40665288032692365,0.04206651616978512,0.29304722254902543
20,0.2590507024779722,0.4026770962951644,0.04060204621141398,0.29767015501544936
21,0.25987498084960803,0.3998524319768817,0.0395356752924192,0.3007369118810909
22,0.26063471489771495,0.39824526798019594,0.03879818497606739,0.30232183214602154
23,0.26080677024474136,0.39662283644475155,0.03839498319320519,0.3041754101173018
24,0.26067973840318254,0.3944463631595441,0.03823751381208799,0.3066363846251854
