horizon,MPR,ExchangeRate,M2,Inflation
0,1.0,-0.0012538393824499119,0.006886826675668772,0.30600262243510284
1,1.0004695178400314,3.6410881052262973,0.002872999980528913,0.58542287408755
2,1.015163865855577,8.688929627955158,0.015259768598442967,0.728325395117693
3,0.8946913937270168,9.257957813821568,0.04812064070869203,0.9811248121661496
4,0.9256102832548926,9.64711048305554,0.10020042047147457,0.7967793363760198
5,0.8716793889915166,10.258070606572963,0.16815632493672822,0.8117664120406829
6,0.7977306346841468,12.958067427100197,0.24550921990863148,1.210917821021075
7,0.6051267697795255,12.942716154604136,0.3507435022384375,1.3634547154309542
8,0.6999203822701863,13.791669205344833,0.46988514605100584,1.3077258132259082
9,0.6666206194646079,17.78866002073405,0.6236402714998488,1.5598111619884856
10,0.6241341889778139,21.475341256386287,0.7884593754846926,1.4737749097224522
11,0.5843849601008746,23.390147648456995,0.9869378504264891,1.3916654747111934
12,0.5960009435756328,23.80769361917194,1.207287882133477,1.2965852586566449
13,0.4976856045543429,22.95085879979288,1.4636775499461256,1.165978292810194
14,0.5635185572748154,22.541312006663688,1.738205873212233,1.083746223067519
15,0.5563550151097085,21.435993044824986,2.0417605472989426,0.9373056580561911
16,0.5657871058706753,19.009018485966685,2.371636772135153,0.6821657036632311
17,0.6097392942119558,17.501179519002633,2.723698295991569,0.5565241978149629
18,0.6150152142012582,16.292924920941655,3.099587838672454,0.3990270344651855
19,0.607120765832218,14.7181501682731,3.4966893808333492,0.2374443767336553
20,0.6366546268836197,13.303443507280049,3.9144990861957187,0.1158035799206608
21,0.6287075579292224,11.557259301457142,4.353890407368315,-0.09156825866648663
22,0.600080233577038,9.12276134542275,4.812908852753191,-0.32753335100281683
23,0.58204163338717,6.979374002902861,5.288325082431443,-0.494256277960192
24,0.5443119614084476,4.610875806120492,5.783110535129291,-0.6817780323766902
